caseId,configurationId,interleaverMode,interleaverDepth,burstLengthIndex,burstLengthBits,snrIndex,targetSnrDb,derivedEbN0Db,permutationSha256
K200_M511K421,NONE_LREP,NONE,1,1,8,8,4,5.6136800223497483,12963ca35ab4094b767e55a8c018aef3caf7cb3defad556fc09ec032238f78d3
K200_M511K421,NONE_LREP,NONE,1,1,8,12,6,7.6136800223497483,12963ca35ab4094b767e55a8c018aef3caf7cb3defad556fc09ec032238f78d3
K200_M511K421,NONE_LREP,NONE,1,1,8,16,8,9.6136800223497492,12963ca35ab4094b767e55a8c018aef3caf7cb3defad556fc09ec032238f78d3
K200_M511K421,NONE_LREP,NONE,1,1,8,20,10,11.613680022349749,12963ca35ab4094b767e55a8c018aef3caf7cb3defad556fc09ec032238f78d3
K200_M511K421,NONE_LREP,NONE,1,1,8,24,12,13.613680022349749,12963ca35ab4094b767e55a8c018aef3caf7cb3defad556fc09ec032238f78d3
K200_M511K421,NONE_LREP,NONE,1,1,8,28,14,15.613680022349749,12963ca35ab4094b767e55a8c018aef3caf7cb3defad556fc09ec032238f78d3
K200_M511K421,NONE_LREP,NONE,1,1,8,32,16,17.613680022349747,12963ca35ab4094b767e55a8c018aef3caf7cb3defad556fc09ec032238f78d3
K200_M511K421,NONE_LREP,NONE,1,1,8,36,18,19.613680022349747,12963ca35ab4094b767e55a8c018aef3caf7cb3defad556fc09ec032238f78d3
K200_M511K421,BEST_LREP,ROW_COLUMN,16,1,8,3,1.5,3.1136800223497483,c33073850114663953bea2006362af5880a573405030b6ce08723895b15e287a
K200_M511K421,BEST_LREP,ROW_COLUMN,16,1,8,7,3.5,5.1136800223497483,c33073850114663953bea2006362af5880a573405030b6ce08723895b15e287a
K200_M511K421,BEST_LREP,ROW_COLUMN,16,1,8,11,5.5,7.1136800223497483,c33073850114663953bea2006362af5880a573405030b6ce08723895b15e287a
K200_M511K421,BEST_LREP,ROW_COLUMN,16,1,8,15,7.5,9.1136800223497492,c33073850114663953bea2006362af5880a573405030b6ce08723895b15e287a
K200_M511K421,BEST_LREP,ROW_COLUMN,16,1,8,19,9.5,11.113680022349749,c33073850114663953bea2006362af5880a573405030b6ce08723895b15e287a
K200_M511K421,BEST_LREP,ROW_COLUMN,16,1,8,23,11.5,13.113680022349749,c33073850114663953bea2006362af5880a573405030b6ce08723895b15e287a
K200_M511K421,BEST_LREP,ROW_COLUMN,16,1,8,27,13.5,15.113680022349749,c33073850114663953bea2006362af5880a573405030b6ce08723895b15e287a
K200_M511K421,BEST_LREP,ROW_COLUMN,16,1,8,31,15.5,17.113680022349747,c33073850114663953bea2006362af5880a573405030b6ce08723895b15e287a
K200_M511K421,BEST_LREP,ROW_COLUMN,16,1,8,35,17.5,19.113680022349747,c33073850114663953bea2006362af5880a573405030b6ce08723895b15e287a
K200_M511K385,NONE_LREP,NONE,1,1,8,2,1,3.1218760440395781,e2bc32e7a16158dd54b740330af587b34410850a36ed6f038cc4317de3f50926
K200_M511K385,NONE_LREP,NONE,1,1,8,6,3,5.1218760440395776,e2bc32e7a16158dd54b740330af587b34410850a36ed6f038cc4317de3f50926
K200_M511K385,NONE_LREP,NONE,1,1,8,10,5,7.1218760440395776,e2bc32e7a16158dd54b740330af587b34410850a36ed6f038cc4317de3f50926
K200_M511K385,NONE_LREP,NONE,1,1,8,14,7,9.1218760440395776,e2bc32e7a16158dd54b740330af587b34410850a36ed6f038cc4317de3f50926
K200_M511K385,NONE_LREP,NONE,1,1,8,18,9,11.121876044039578,e2bc32e7a16158dd54b740330af587b34410850a36ed6f038cc4317de3f50926
K200_M511K385,NONE_LREP,NONE,1,1,8,22,11,13.121876044039578,e2bc32e7a16158dd54b740330af587b34410850a36ed6f038cc4317de3f50926
K200_M511K385,NONE_LREP,NONE,1,1,8,26,13,15.121876044039578,e2bc32e7a16158dd54b740330af587b34410850a36ed6f038cc4317de3f50926
K200_M511K385,NONE_LREP,NONE,1,1,8,30,15,17.121876044039578,e2bc32e7a16158dd54b740330af587b34410850a36ed6f038cc4317de3f50926
K200_M511K385,NONE_LREP,NONE,1,1,8,34,17,19.121876044039578,e2bc32e7a16158dd54b740330af587b34410850a36ed6f038cc4317de3f50926
K200_M511K385,BEST_LREP,ROW_COLUMN,16,1,8,1,0.5,2.6218760440395781,97606b25e01ee48903d8bbd38dde9e2efcea34c173c6fcb275d560500fab916f
K200_M511K385,BEST_LREP,ROW_COLUMN,16,1,8,5,2.5,4.6218760440395776,97606b25e01ee48903d8bbd38dde9e2efcea34c173c6fcb275d560500fab916f
K200_M511K385,BEST_LREP,ROW_COLUMN,16,1,8,9,4.5,6.6218760440395776,97606b25e01ee48903d8bbd38dde9e2efcea34c173c6fcb275d560500fab916f
K200_M511K385,BEST_LREP,ROW_COLUMN,16,1,8,13,6.5,8.6218760440395776,97606b25e01ee48903d8bbd38dde9e2efcea34c173c6fcb275d560500fab916f
K200_M511K385,BEST_LREP,ROW_COLUMN,16,1,8,17,8.5,10.621876044039578,97606b25e01ee48903d8bbd38dde9e2efcea34c173c6fcb275d560500fab916f
K200_M511K385,BEST_LREP,ROW_COLUMN,16,1,8,21,10.5,12.621876044039578,97606b25e01ee48903d8bbd38dde9e2efcea34c173c6fcb275d560500fab916f
K200_M511K385,BEST_LREP,ROW_COLUMN,16,1,8,25,12.5,14.621876044039578,97606b25e01ee48903d8bbd38dde9e2efcea34c173c6fcb275d560500fab916f
K200_M511K385,BEST_LREP,ROW_COLUMN,16,1,8,29,14.5,16.621876044039578,97606b25e01ee48903d8bbd38dde9e2efcea34c173c6fcb275d560500fab916f
K200_M511K385,BEST_LREP,ROW_COLUMN,16,1,8,33,16.5,18.621876044039578,97606b25e01ee48903d8bbd38dde9e2efcea34c173c6fcb275d560500fab916f
